SUID,BRENDA ID,CAZY Name,Class,Description,EC,Family,Gene Name,Genus,GO Term,HMP Body Site,HMP Oxygen,InterPro (Domain),InterPro (Family),InterPro (Homologous Superfamily),InterPro (Other),KEGG ID,Kingdom,name,NCBI IDs,Order,Organism,P01 gDNA,PATRIC ID,PDB,PFAM,Phylum,selected,Sequence Length,Sequence Source,shared name,Species,STRING ID,Superkingdom,Swissprot Description,Taxonomy ID,UniProt Annotation Status
1431671,,,Bacilli,Glycoside hydrolase| family 4 ,,Bacillaceae,bcere0005_48090,Bacillus,0004553 hydrolase activity  hydrolyzing O-glycosyl compounds|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin,Aerobe,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,C2P6B9,GI:228602043|GI:446067907|EMBL-CDS:EEK59536.1|REFSEQ:WP_000145762.1,Bacillales,Bacillus cereus 172560W.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,C2P6B9,Bacillus cereus 172560W,,Bacteria,,526967,TrEMBL
1431677,,,Bacilli,Uncharacterized protein ,,Bacillaceae,HMPREF1014_04430,Bacillus,0004553 hydrolase activity  hydrolyzing O-glycosyl compounds|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Gastrointestinal tract,,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,G9QCN8,GI:446067907|GI:363617571|EMBL-CDS:EHL68958.1|REFSEQ:WP_000145762.1,Bacillales,Bacillus sp. 7_6_55CFAA_CT2.,FALSE,fig|665957.3.peg.4514,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,G9QCN8,Bacillus sp. 7_6_55CFAA_CT2,,Bacteria,,665957,TrEMBL
1431686,,GH4,Bacilli,6-phospho-beta-glucosidase ,3.2.1.86 {ECO:0000313|EMBL:AAT63378.1},Bacillaceae,BT9727_4886,Bacillus,0008706 6-phospho-beta-glucosidase activity|0103047 methyl beta-D-glucoside 6-phosphate glucohydrolase activity|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin,Facultative,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,btk:BT9727_4886,,Q6HB81,GI:49332732|GI:49481176|GI:446067894|GI:81394259|EMBL-CDS:AAT63378.1|REFSEQ:WP_000145749.1|REFSEQ:YP_039195.1,Bacillales,Bacillus thuringiensis subsp. konkukian  (strain 97-27),TRUE,fig|281309.8.peg.5196,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,Q6HB81,[Bacillus thuringiensis] serovar konkukian str. 97,,Bacteria,,281309,TrEMBL
1431699,,,Bacilli,6-phospho-beta-glucosidase ,3.2.1.86 {ECO:0000313|EMBL:AJG75701.1},Bacillaceae,BF38_934,Bacillus,0008706 6-phospho-beta-glucosidase activity|0103047 methyl beta-D-glucoside 6-phosphate glucohydrolase activity|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin,Microaerophilic,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,btw:BF38_934,,A0A0B5NP53,GI:446067902|GI:753328192|GI:753588775|EMBL-CDS:AJG75701.1|EMBL-CDS:PNK23038.1|EMBL-CDS:SCC67821.1|REFSEQ:WP_000145757.1,Bacillales,Bacillus thuringiensis.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A0B5NP53,Bacillus thuringiensis,,Bacteria,,1428,TrEMBL
1431705,,,Bacilli,6-phospho-beta-glucosidase ,3.2.1.86 {ECO:0000313|EMBL:COE39221.1},Streptococcaceae,ERS020515_01620,Streptococcus,0008706 6-phospho-beta-glucosidase activity|0103047 methyl beta-D-glucoside 6-phosphate glucohydrolase activity|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin|Not Specified|Oral,"Anaerobe,Facultative",IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A0U0ESM5,EMBL-CDS:COE39221.1,Lactobacillales,Streptococcus pneumoniae.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A0U0ESM5,Streptococcus pneumoniae,,Bacteria,,1313,TrEMBL
1431707,,,Bacilli,6-phospho-beta-glucosidase ,3.2.1.86 {ECO:0000313|EMBL:ACO26783.1},Bacillaceae,BCA_5337,Bacillus,0008706 6-phospho-beta-glucosidase activity|0103047 methyl beta-D-glucoside 6-phosphate glucohydrolase activity|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Blood,Facultative,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,bcx:BCA_5337,,A0A158RID2,GI:225786566|GI:753284925|GI:446067890|EMBL-CDS:ACO26783.1|REFSEQ:WP_000145745.1,Bacillales,Bacillus cereus  (strain 03BB102),FALSE,fig|572264.18.peg.5260,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A158RID2,Bacillus cereus 03BB102,,Bacteria,,572264,TrEMBL
1431715,,,Gammaproteobacteria,6-phospho-beta-glucosidase ,,Enterobacteriaceae,BU230_07075,Klebsiella,0004553 hydrolase activity  hydrolyzing O-glycosyl compounds|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Airways|Skin,,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A1S9BMA5,GI:1150071459|EMBL-CDS:OON83298.1,Enterobacterales,Klebsiella pneumoniae.,FALSE,,,PF02056|PF11975,Proteobacteria,FALSE,441,BLASTHIT,A0A1S9BMA5,Klebsiella pneumoniae,,Bacteria,,573,TrEMBL
1431738,,,Bacilli,6-phospho-beta-glucosidase ,,Bacillaceae,CN398_24915,Bacillus,0004553 hydrolase activity  hydrolyzing O-glycosyl compounds|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin,Microaerophilic,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A2C3DM66,GI:1010941440|GI:756147555|EMBL-CDS:PFA94564.1|REFSEQ:WP_042596701.1,Bacillales,Bacillus thuringiensis.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A2C3DM66,Bacillus thuringiensis,,Bacteria,,1428,TrEMBL
1431752,,GH4,Bacilli,6-phospho-beta-glucosidase ,3.2.1.86 {ECO:0000313|EMBL:ABK87887.1},Bacillaceae,BALH_4701,Bacillus,0008706 6-phospho-beta-glucosidase activity|0103047 methyl beta-D-glucoside 6-phosphate glucohydrolase activity|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin,Facultative,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,btl:BALH_4701,,A0RKZ4,GI:446067902|GI:118419468|EMBL-CDS:ABK87887.1|REFSEQ:WP_000145757.1,Bacillales,Bacillus thuringiensis  (strain Al Hakam),TRUE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0RKZ4,Bacillus thuringiensis str. Al Hakam,,Bacteria,,412694,TrEMBL
1431754,,GH4,Bacilli,6-phospho-beta-glucosidase ,3.2.1.86 {ECO:0000313|EMBL:ACK90542.1},Bacillaceae,BCAH820_5297,Bacillus,0008706 6-phospho-beta-glucosidase activity|0103047 methyl beta-D-glucoside 6-phosphate glucohydrolase activity|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Oral,Facultative,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,bcu:BCAH820_5297,,B7JFN8,GI:218538144|GI:446067916|EMBL-CDS:ACK90542.1|REFSEQ:WP_000145771.1,Bacillales,Bacillus cereus  (strain AH820),FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,B7JFN8,Bacillus cereus AH820,,Bacteria,,405535,TrEMBL
1431767,,,Bacilli,6-phospho-beta-glucosidase ,3.2.1.86 {ECO:0000313|EMBL:COP52046.1},Streptococcaceae,ERS020526_00958,Streptococcus,0008706 6-phospho-beta-glucosidase activity|0103047 methyl beta-D-glucoside 6-phosphate glucohydrolase activity|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin|Not Specified|Oral,"Anaerobe,Facultative",IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A0E8T6Q2,EMBL-CDS:COP52046.1,Lactobacillales,Streptococcus pneumoniae.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A0E8T6Q2,Streptococcus pneumoniae,,Bacteria,,1313,TrEMBL
1431768,,,Bacilli,6-phospho-beta-glucosidase ,,Bacillaceae,AYK81_02125,Bacillus,0004553 hydrolase activity  hydrolyzing O-glycosyl compounds|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin,Microaerophilic,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A0P0PJG9,GI:942011531|GI:1001030592|GI:446067901|EMBL-CDS:KXO03420.1|REFSEQ:WP_000145756.1,Bacillales,Bacillus thuringiensis.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A0P0PJG9,Bacillus thuringiensis,,Bacteria,,1428,TrEMBL
1431778,,,Bacilli,6-phospho-beta-glucosidase ,,Bacillaceae,BK774_13530,Bacillus,0004553 hydrolase activity  hydrolyzing O-glycosyl compounds|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin,Microaerophilic,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A243G8V3,GI:924507561|GI:1194205730|EMBL-CDS:OUA03014.1|REFSEQ:WP_053513802.1,Bacillales,Bacillus thuringiensis.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A243G8V3,Bacillus thuringiensis,,Bacteria,,1428,TrEMBL
1431784,,,Bacilli,6-phospho-beta-glucosidase ,,Bacillaceae,COK72_17665,Bacillus,0004553 hydrolase activity  hydrolyzing O-glycosyl compounds|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin,Microaerophilic,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A2B3L325,GI:763053470|EMBL-CDS:PFT43391.1|REFSEQ:WP_043935826.1,Bacillales,Bacillus thuringiensis.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A2B3L325,Bacillus thuringiensis,,Bacteria,,1428,TrEMBL
1431790,,,Bacilli,6-phospho-beta-glucosidase ,3.2.1.86 {ECO:0000313|EMBL:PVF87619.1},Bacillaceae,C5676_03373,Bacillus,0008706 6-phospho-beta-glucosidase activity|0103047 methyl beta-D-glucoside 6-phosphate glucohydrolase activity|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor|0102483 scopolin beta-glucosidase activity,Skin,Microaerophilic,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A2T7YPD3,GI:446067908|EMBL-CDS:PVF87619.1|REFSEQ:WP_000145763.1,Bacillales,Bacillus thuringiensis.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A2T7YPD3,Bacillus thuringiensis,,Bacteria,,1428,TrEMBL
1431798,,,Bacilli,6-phospho-beta-glucosidase ,,Bacillaceae,B4918_29210,Bacillus,0004553 hydrolase activity  hydrolyzing O-glycosyl compounds|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin,Microaerophilic,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A0Q0RG65,GI:446067905|GI:940632314|GI:1158656486|EMBL-CDS:AQY41775.1|EMBL-CDS:PEA86780.1|EMBL-CDS:PFO35903.1|REFSEQ:WP_000145760.1,Bacillales,Bacillus thuringiensis.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A0Q0RG65,Bacillus thuringiensis,,Bacteria,,1428,TrEMBL
1431830,,,Bacilli,6-phospho-beta-glucosidase ,,Bacillaceae,CBR55_05230,Bacillus,0004553 hydrolase activity  hydrolyzing O-glycosyl compounds|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin,Microaerophilic,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A2J9C8Z2,GI:1487513650|GI:1008988872|GI:1008813314|EMBL-CDS:PNK39734.1|REFSEQ:WP_061884759.1,Bacillales,Bacillus thuringiensis.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A2J9C8Z2,Bacillus thuringiensis,,Bacteria,,1428,TrEMBL
1431836,,GH4,Bacilli,6-phospho-beta-glucosidase ,3.2.1.86 {ECO:0000313|EMBL:ACK93050.1},Bacillaceae,BCG9842_B5631,Bacillus,0008706 6-phospho-beta-glucosidase activity|0103047 methyl beta-D-glucoside 6-phosphate glucohydrolase activity|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Gastrointestinal tract,Facultative,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,bcg:BCG9842_B5631,,B7IPX0,GI:218540656|GI:446067906|EMBL-CDS:ACK93050.1|REFSEQ:WP_000145761.1,Bacillales,Bacillus cereus  (strain G9842),FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,B7IPX0,Bacillus cereus G9842,,Bacteria,,405531,TrEMBL
1431850,,,Bacilli,6-phospho-beta-glucosidase ,,Bacillaceae,ATN06_26185,Bacillus,0004553 hydrolase activity  hydrolyzing O-glycosyl compounds|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin,Microaerophilic,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A0S3C4K3,GI:983474913|GI:958627011|EMBL-CDS:ALQ70705.1|REFSEQ:WP_060632887.1,Bacillales,Bacillus thuringiensis.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A0S3C4K3,Bacillus thuringiensis,,Bacteria,,1428,TrEMBL
1431855,,,Bacilli,Putative 6-phospho-beta-glucosidase LicH ,3.2.1.86 {ECO:0000313|EMBL:OFD04562.1},Bacillaceae,BTGOE7_45670,Bacillus,0008706 6-phospho-beta-glucosidase activity|0103047 methyl beta-D-glucoside 6-phosphate glucohydrolase activity|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin,Microaerophilic,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A1E8ACV4,GI:1078599094|GI:507035558|GI:1078607416|EMBL-CDS:OFD04562.1|REFSEQ:WP_016107251.1,Bacillales,Bacillus thuringiensis.,FALSE,fig|1428.380.peg.4637,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A1E8ACV4,Bacillus thuringiensis,,Bacteria,,1428,TrEMBL
1431878,,,Bacilli,6-phospho-beta-glucosidase ,3.2.1.86 {ECO:0000313|EMBL:CKE29653.1},Streptococcaceae,ERS232498_00055,Streptococcus,0008706 6-phospho-beta-glucosidase activity|0103047 methyl beta-D-glucoside 6-phosphate glucohydrolase activity|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin|Not Specified|Oral,"Anaerobe,Facultative",IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A0T8VKA6,EMBL-CDS:CKE29653.1|EMBL-CDS:CKE51179.1,Lactobacillales,Streptococcus pneumoniae.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A0T8VKA6,Streptococcus pneumoniae,,Bacteria,,1313,TrEMBL
1431900,,,Bacilli,6-phospho-beta-glucosidase ,,Bacillaceae,EGX95_24805,Bacillus,,Skin,Microaerophilic,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A3G5UIQ2,GI:446067912|GI:1518985896|EMBL-CDS:AYY29595.1,Bacillales,Bacillus sp.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A3G5UIQ2,Bacillus sp. (in: Bacteria),,Bacteria,,1409,TrEMBL
1431901,,GH4,Bacilli,6-phospho-beta-glucosidase ,3.2.1.86 {ECO:0000313|EMBL:ACJ77841.1},Bacillaceae,BCAH187_A5373,Bacillus,0008706 6-phospho-beta-glucosidase activity|0103047 methyl beta-D-glucoside 6-phosphate glucohydrolase activity|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Gastrointestinal tract,Facultative,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,bcr:BCAH187_A5373,,B7HX37,GI:446067912|GI:217063591|EMBL-CDS:ACJ77841.1|REFSEQ:WP_000145767.1,Bacillales,Bacillus cereus  (strain AH187),FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,B7HX37,Bacillus cereus AH187,,Bacteria,,405534,TrEMBL
1431934,,,Bacilli,Glycoside hydrolase| family 4 ,,Bacillaceae,bcere0009_49070,Bacillus,0004553 hydrolase activity  hydrolyzing O-glycosyl compounds|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Blood,Aerobe,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,C2QJS2,GI:228619381|EMBL-CDS:EEK76271.1,Bacillales,Bacillus cereus R309803.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,C2QJS2,Bacillus cereus R309803,,Bacteria,,526968,TrEMBL
1431935,,,Bacilli,Glycoside hydrolase| family 4 ,,Bacillaceae,bcere0029_49190,Bacillus,0004553 hydrolase activity  hydrolyzing O-glycosyl compounds|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Urogenital tract,Aerobe,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,C2ZFC0,GI:228734683|GI:446067885|EMBL-CDS:EEL85335.1|REFSEQ:WP_000145740.1,Bacillales,Bacillus cereus AH1272.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,C2ZFC0,Bacillus cereus AH1272,,Bacteria,,526993,TrEMBL
1432010,,,Bacilli,6-phospho-beta-glucosidase ,3.2.1.86 {ECO:0000313|EMBL:CJR60905.1},Streptococcaceae,ERS021733_00927,Streptococcus,0008706 6-phospho-beta-glucosidase activity|0103047 methyl beta-D-glucoside 6-phosphate glucohydrolase activity|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin|Not Specified|Oral,"Anaerobe,Facultative",IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A0T8PNS8,EMBL-CDS:CJR60905.1,Lactobacillales,Streptococcus pneumoniae.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,442,BLASTHIT,A0A0T8PNS8,Streptococcus pneumoniae,,Bacteria,,1313,TrEMBL
1432011,,,Bacilli,6-phospho-beta-glucosidase ,3.2.1.86 {ECO:0000313|EMBL:COD26674.1},Streptococcaceae,ERS020178_02898,Streptococcus,0008706 6-phospho-beta-glucosidase activity|0103047 methyl beta-D-glucoside 6-phosphate glucohydrolase activity|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin|Not Specified|Oral,"Anaerobe,Facultative",IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A0U0D5Z6,EMBL-CDS:COD26674.1,Lactobacillales,Streptococcus pneumoniae.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,442,BLASTHIT,A0A0U0D5Z6,Streptococcus pneumoniae,,Bacteria,,1313,TrEMBL
