SUID,BRENDA ID,CAZY Name,Class,Description,EC,Family,Gene Name,Genus,GO Term,HMPBodySite,HMP Oxygen,InterPro (Other),KEGG ID,Kingdom,List of IDs in Rep Node,name,NCBI IDs,Number of IDs in Rep Node,Order,Organism,P01 gDNA,PATRIC ID,PDB,PFAM,Phylum,selected,Sequence Length,Sequence Source,shared name,Species,STRING ID,Superkingdom,Swissprot Description,Taxonomy ID,UniProt Annotation Status
372683,None,None,Epsilonproteobacteria,Nitrous-oxide reductase NosZ ,1.7.2.4 {ECO:0000313|EMBL:AOO64154.1},Campylobacteraceae,SHALO_0357,Sulfurospirillum,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding|0050304 nitrous-oxide reductase activity,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,shal:SHALO_0357,NA,A0A1D7TH34,A0A1D7TH34,GI:1065061123|GI:1063807772|EMBL-CDS:AOO64154.1|REFSEQ:WP_069477117.1,1,Campylobacterales,Sulfurospirillum halorespirans DSM 13726.,FALSE,fig|1193502.14.peg.364,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,867,BLASTHIT,A0A1D7TH34,Sulfurospirillum halorespirans DSM 13726,None,Bacteria,NA,1193502,TrEMBL
372684,None,None,Epsilonproteobacteria,Nitrous oxide reductase apoprotein ,1.7.2.4 {ECO:0000313|EMBL:ADN10031.1},Helicobacteraceae,Saut_1988,Sulfurimonas,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding|0050304 nitrous-oxide reductase activity,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,sua:Saut_1988,NA,E0URE5,E0URE5,GI:503092957|GI:306979996|EMBL-CDS:ADN10031.1|REFSEQ:WP_013327784.1,1,Campylobacterales,Sulfurimonas autotrophica  (strain ATCC BAA-671 / DSM 16294 / JCM 11897/ OK10),FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,867,BLASTHIT,E0URE5,Sulfurimonas autotrophica DSM 16294,563040.Saut_1988,Bacteria,NA,563040,TrEMBL
372685,None,None,NA,Nitrous-oxide reductase ,1.7.2.4 {ECO:0000313|EMBL:SFV71704.1},NA,MNB_SV,NA,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding|0050304 nitrous-oxide reductase activity,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,None,NA,A0A1W1D0T6,A0A1W1D0T6,EMBL-CDS:SFV71704.1,1,NA,hydrothermal vent metagenome.,FALSE,None,None,PF00034|PF13473|PF18764,NA,FALSE,866,BLASTHIT,A0A1W1D0T6,hydrothermal vent metagenome,None,NA,NA,652676,TrEMBL
372686,None,None,Epsilonproteobacteria,Cytochrome C ,None,NA,YH65_00725,Sulfurovum,0009055 electron transfer activity|0020037 heme binding|0046872 metal ion binding,None,None,IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,slh:YH65_00725,NA,A0A0F6Z1S9,A0A0F6Z1S9,GI:817400970|GI:817151557|EMBL-CDS:AKF24093.1|REFSEQ:WP_046550201.1,1,NA,Sulfurovum lithotrophicum.,FALSE,fig|206403.3.peg.138,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,866,BLASTHIT,A0A0F6Z1S9,Sulfurovum lithotrophicum,None,Bacteria,NA,206403,TrEMBL
372687,None,None,Epsilonproteobacteria,Cytochrome C ,None,Campylobacteraceae,OA34_10415,Sulfurospirillum,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,None,NA,A0A0B0Q3L1,A0A0B0Q3L1,GI:728903971|EMBL-CDS:KHG33385.1,1,Campylobacterales,Sulfurospirillum sp. MES.,FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,866,BLASTHIT,A0A0B0Q3L1,Sulfurospirillum sp. MES,None,Bacteria,NA,1565314,TrEMBL
372688,None,None,Epsilonproteobacteria,Cytochrome C ,None,Campylobacteraceae,CFH80_08085,Sulfurospirillum,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,None,NA,A0A2D3WC09,A0A2D3WC09,EMBL-CDS:DAB35826.1,1,Campylobacterales,Sulfurospirillum cavolei.,FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,866,BLASTHIT,A0A2D3WC09,Sulfurospirillum cavolei,None,Bacteria,NA,366522,TrEMBL
372689,None,None,Epsilonproteobacteria,Nitrous-oxide reductase NosZ ,1.7.2.4 {ECO:0000313|EMBL:BAF73119.1},NA,SUN_2179,Sulfurovum,0009055 electron transfer activity|0020037 heme binding|0046872 metal ion binding|0050304 nitrous-oxide reductase activity,None,None,IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,sun:SUN_2179,NA,A6QCB0,A6QCB0,GI:501031873|GI:151425616|EMBL-CDS:BAF73119.1|REFSEQ:WP_012083949.1,1,NA,Sulfurovum sp.  (strain NBC37-1),FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,866,BLASTHIT,A6QCB0,Sulfurovum sp. NBC37-1,387093.SUN_2179,Bacteria,NA,387093,TrEMBL
372690,None,None,Epsilonproteobacteria,Cytochrome C ,None,NA,AS592_01860,Sulfurovum,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,None,NA,A0A151CF84,A0A151CF84,GI:1055716515|GI:1008704898|EMBL-CDS:KYJ86134.1|REFSEQ:WP_067331554.1,1,NA,Sulfurovum riftiae.,FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,866,BLASTHIT,A0A151CF84,Sulfurovum riftiae,None,Bacteria,NA,1630136,TrEMBL
372691,None,None,Epsilonproteobacteria,Cytochrome C ,None,Campylobacteraceae,CFH79_00045,Sulfurospirillum,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,None,NA,A0A2D3W7Y0,A0A2D3W7Y0,EMBL-CDS:DAB33139.1,1,Campylobacterales,Sulfurospirillum sp. UBA11407.,FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,866,BLASTHIT,A0A2D3W7Y0,Sulfurospirillum sp. UBA11407,None,Bacteria,NA,2015904,TrEMBL
372692,None,None,Epsilonproteobacteria,Cytochrome C ,None,Helicobacteraceae,M947_01930,Sulfurimonas,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,None,NA,T0JU37,T0JU37,GI:530452364|GI:544873618|EMBL-CDS:EQB40587.1|REFSEQ:WP_021286667.1,1,Campylobacterales,Sulfurimonas hongkongensis.,FALSE,fig|1172190.3.peg.376,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,866,BLASTHIT,T0JU37,Sulfurimonas hongkongensis,None,Bacteria,NA,1172190,TrEMBL
372693,None,None,Epsilonproteobacteria,Cytochrome C ,None,Helicobacteraceae,A2345_00680,Sulfurimonas,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,None,NA,A0A1G3TSM0,A0A1G3TSM0,GI:1088586956|EMBL-CDS:OHE06512.1,1,Campylobacterales,Sulfurimonas sp. RIFOXYB12_FULL_35_9.,FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,866,BLASTHIT,A0A1G3TSM0,Sulfurimonas sp. RIFOXYB12_FULL_35_9,None,Bacteria,NA,1802256,TrEMBL
372694,None,None,Epsilonproteobacteria,Cytochrome C ,None,Helicobacteraceae,CFH84_04365,Sulfurimonas,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,None,NA,A0A2D3VRT4,A0A2D3VRT4,EMBL-CDS:DAB30375.1,1,Campylobacterales,Sulfurimonas sp. UBA12504.,FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,866,BLASTHIT,A0A2D3VRT4,Sulfurimonas sp. UBA12504,None,Bacteria,NA,2015903,TrEMBL
372695,None,None,Epsilonproteobacteria,Cytochrome C ,None,Campylobacteraceae,C0625_02810,Arcobacter,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,None,NA,A0A2N6FXS8,A0A2N6FXS8,EMBL-CDS:PLY08132.1,1,Campylobacterales,Arcobacter sp.,FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,866,BLASTHIT,A0A2N6FXS8,Arcobacter sp.,None,Bacteria,NA,1872629,TrEMBL
372696,None,None,Epsilonproteobacteria,Cytochrome C ,None,NA,KU29_05325,Sulfurovum,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,None,NA,A0A0C2VRR1,A0A0C2VRR1,GI:751431747|EMBL-CDS:KIM08077.1,1,NA,Sulfurovum sp. FS06-10.,FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,866,BLASTHIT,A0A0C2VRR1,Sulfurovum sp. FS06-10,None,Bacteria,NA,1539064,TrEMBL
372697,None,None,Epsilonproteobacteria,Cytochrome C ,None,Helicobacteraceae,A2W82_02620,Sulfurimonas,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,None,NA,A0A1G3TDK7,A0A1G3TDK7,GI:1088578291|EMBL-CDS:OHE01499.1,1,Campylobacterales,Sulfurimonas sp. RIFCSPLOWO2_12_36_12.,FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,866,BLASTHIT,A0A1G3TDK7,Sulfurimonas sp. RIFCSPLOWO2_12_36_12,None,Bacteria,NA,1802253,TrEMBL
372698,None,None,Epsilonproteobacteria,Cytochrome C ,None,Campylobacteraceae,CPH92_07025,Arcobacter,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,None,NA,A0A2G1DA89,A0A2G1DA89,EMBL-CDS:PHO15405.1,1,Campylobacterales,Malacobacter marinus.,FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,865,BLASTHIT,A0A2G1DA89,Arcobacter marinus,None,Bacteria,NA,505249,TrEMBL
372699,None,None,Epsilonproteobacteria,Cytochrome C ,None,Campylobacteraceae,B0174_04110,Pseudoarcobacter,None,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,None,NA,A0A363D2G6,A0A363D2G6,EMBL-CDS:PUE65514.1,1,Campylobacterales,Pseudarcobacter caeni.,FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,865,BLASTHIT,A0A363D2G6,Pseudoarcobacter caeni,None,Bacteria,NA,1912877,TrEMBL
372700,None,None,NA,Nitrous-oxide reductase ,1.7.2.4 {ECO:0000313|EMBL:SHO80828.1},NA,MNB_SV,NA,0009055 electron transfer activity|0020037 heme binding|0050304 nitrous-oxide reductase activity,None,None,IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,None,NA,A0A1W1EIY1,A0A1W1EIY1,EMBL-CDS:SHO80828.1,1,NA,hydrothermal vent metagenome.,FALSE,None,None,PF00034|PF13473|PF18764,NA,FALSE,865,BLASTHIT,A0A1W1EIY1,hydrothermal vent metagenome,None,NA,NA,652676,TrEMBL
372701,None,None,Epsilonproteobacteria,Nitrous oxide reductase ,1.7.2.4 {ECO:0000313|EMBL:AXH12835.1},Campylobacteraceae,ABIV_1846,Arcobacter,None,None,None,IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,None,NA,A0A345IZ51,A0A345IZ51,GI:1435904763|EMBL-CDS:AXH12835.1,1,Campylobacterales,Haloarcobacter bivalviorum.,FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,865,BLASTHIT,A0A345IZ51,Arcobacter bivalviorum,None,Bacteria,NA,663364,TrEMBL
372702,None,None,Epsilonproteobacteria,NosZ Nitrous oxide reductase ,1.7.2.4 {ECO:0000313|EMBL:ABB44576.1},Helicobacteraceae,Suden_1298,Sulfurimonas,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding|0050304 nitrous-oxide reductase activity,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,tdn:Suden_1298,NA,Q30R05,Q30R05,GI:499692194|GI:78498036|EMBL-CDS:ABB44576.1|REFSEQ:WP_011372928.1,1,Campylobacterales,Sulfurimonas denitrificans  (strain ATCC 33889 / DSM 1251),TRUE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,865,BLASTHIT,Q30R05,Sulfurimonas denitrificans DSM 1251,326298.Suden_1298,Bacteria,NA,326298,TrEMBL
372703,None,None,Epsilonproteobacteria,Cytochrome C ,None,Helicobacteraceae,AUK54_00760,NA,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,None,NA,A0A1J5FAT1,A0A1J5FAT1,GI:1101207501|EMBL-CDS:OIP57268.1,1,Campylobacterales,Helicobacteraceae bacterium CG2_30_36_10.,FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,865,BLASTHIT,A0A1J5FAT1,Helicobacteraceae bacterium CG2_30_36_10,None,Bacteria,NA,1805215,TrEMBL
372704,None,None,Epsilonproteobacteria,Cytochrome C ,None,Campylobacteraceae,CL624_06885,Arcobacter,0009055 electron transfer activity|0020037 heme binding|0046872 metal ion binding,None,None,IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR034205|IPR036909,None,NA,A0A2D5JEF2,A0A2D5JEF2,EMBL-CDS:MAC83843.1,1,Campylobacterales,Arcobacter sp.,FALSE,None,None,PF00034|PF18764,Proteobacteria,FALSE,865,BLASTHIT,A0A2D5JEF2,Arcobacter sp.,None,Bacteria,NA,1872629,TrEMBL
372705,None,None,Epsilonproteobacteria,Cytochrome C ,None,Campylobacteraceae,LPB137_10755,NA,0009055 electron transfer activity|0020037 heme binding|0046872 metal ion binding,None,None,IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR034205|IPR036909,alp:LPB137_10755,NA,A0A1P8KNW3,A0A1P8KNW3,GI:1133702340|GI:1133384747|EMBL-CDS:APW66292.1|REFSEQ:WP_076087894.1,1,Campylobacterales,Arcobacter sp. LPB0137.,FALSE,None,None,PF00034|PF18764,Proteobacteria,FALSE,865,BLASTHIT,A0A1P8KNW3,Arcobacter sp. LPB0137,None,Bacteria,NA,1850254,TrEMBL
372706,,,Epsilonproteobacteria|,Nitrous oxide reductase |Input Sequence,,Helicobacteraceae|,nosZ|,Wolinella|,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding|,,,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909|,,NA|,Q6ZXZ8|zINPUTSEQ,Q6ZXZ8,GI:46934822|EMBL-CDS:CAG26676.1|,2,Campylobacterales|,Wolinella succinogenes.|,False|,,,PF00034|PF13473|PF18764|,Proteobacteria|,FALSE,864|886,BLASTHIT|INPUT,Q6ZXZ8,Wolinella succinogenes|,,Bacteria|,NA|,844|,TrEMBL|
372707,None,None,Epsilonproteobacteria,Nitrous oxide reductase ,1.7.2.4 {ECO:0000313|EMBL:AII14409.1},Campylobacteraceae,CIG1485E_0544,Campylobacter,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding|0050304 nitrous-oxide reductase activity,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,caj:CIG1485E_0544,NA,A0A076FF03,A0A076FF03,GI:740668157|GI:669187956|GI:971186468|EMBL-CDS:AII14409.1|REFSEQ:WP_038453447.1,1,Campylobacterales,Campylobacter iguaniorum.,FALSE,fig|1244531.5.peg.554,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,864,BLASTHIT,A0A076FF03,Campylobacter iguaniorum,None,Bacteria,NA,1244531,TrEMBL
372708,None,None,Epsilonproteobacteria,Cytochrome C ,None,Campylobacteraceae,C6B32_02560,Campylobacter,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,None,NA,A0A2S0JBE5,A0A2S0JBE5,GI:1354703412|GI:1049823207|GI:1050119529|EMBL-CDS:AVK80763.1|REFSEQ:WP_065841426.1,1,Campylobacterales,Campylobacter fetus subsp. testudinum.,FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,864,BLASTHIT,A0A2S0JBE5,Campylobacter fetus subsp. testudinum,None,Bacteria,NA,1507806,TrEMBL
372709,None,None,Epsilonproteobacteria,Nitrous-oxide reductase ,1.7.2.4 {ECO:0000313|EMBL:CUU84849.1},Campylobacteraceae,ERS686654_01570,Campylobacter,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding|0050304 nitrous-oxide reductase activity,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,None,NA,A0A0S4SG76,A0A0S4SG76,GI:981175216|EMBL-CDS:CUU84849.1|EMBL-CDS:CUU88892.1|REFSEQ:WP_059426052.1,1,Campylobacterales,Campylobacter fetus subsp. fetus.,FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,864,BLASTHIT,A0A0S4SG76,Campylobacter fetus subsp. fetus,None,Bacteria,NA,32019,TrEMBL
372710,None,None,Epsilonproteobacteria,Cytochrome C ,None,Campylobacteraceae,CDQ67_06930,Campylobacter,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,None,NA,A0A2S5J4B3,A0A2S5J4B3,EMBL-CDS:PPB54709.1,1,Campylobacterales,Campylobacter hyointestinalis subsp. hyointestinalis.,FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,864,BLASTHIT,A0A2S5J4B3,Campylobacter hyointestinalis subsp. hyointestinal,None,Bacteria,NA,91352,TrEMBL
